method,environment,attack,seed,round,eval_return_mean,eval_return_std
FedAvg,Adversary,adaptive,456,100,-15.693299735548802,6.020448922364478
FedAvg,Adversary,adaptive,456,105,-15.934363485079539,5.749272251376228
FedAvg,Adversary,adaptive,456,110,-15.497727728710284,5.6255097123983555
FedAvg,Adversary,adaptive,456,115,-15.373873616072123,5.911998510361117
FedAvg,Adversary,adaptive,456,120,-15.843536159354633,6.154530243849443
FedAvg,Adversary,adaptive,456,125,-15.197384114202169,6.464012233259139
FedAvg,Adversary,adaptive,456,130,-15.48765704534831,6.689568274101787
FedAvg,Adversary,adaptive,456,135,-16.13373311703944,6.999088058667346
FedAvg,Adversary,adaptive,456,140,-16.22082337578986,6.8985793851718595
FedAvg,Adversary,adaptive,456,145,-16.344445810729333,6.828113372599712
FedAvg,Adversary,adaptive,456,150,-16.673980456608824,6.759536992478344
FedAvg,Adversary,adaptive,456,155,-16.62087677444618,6.235786062152377
FedAvg,Adversary,adaptive,456,160,-16.311802364548704,5.853728408169022
FedAvg,Adversary,adaptive,456,165,-15.84922293600933,6.429155416932087
FedAvg,Adversary,adaptive,456,170,-15.842531463485603,5.945603430125926
FedAvg,Adversary,adaptive,456,175,-16.274578192425434,6.198032289791136
FedAvg,Adversary,adaptive,456,180,-16.2340738813302,6.221815037781766
FedAvg,Adversary,adaptive,456,185,-16.39817858922653,6.004224526245259
FedAvg,Adversary,adaptive,456,190,-16.72361626139517,6.484114206673928
FedAvg,Adversary,adaptive,456,195,-16.289368233558708,6.596994878244394
FedAvg,Adversary,adaptive,789,0,-22.03939745212107,10.077749653362185
FedAvg,Adversary,adaptive,789,5,-21.817103173207393,9.327640679603382
FedAvg,Adversary,adaptive,789,10,-21.305678840259496,8.769393998368848
FedAvg,Adversary,adaptive,789,15,-20.09119096133183,7.6795900974028575
FedAvg,Adversary,adaptive,789,20,-18.753267525522226,6.701745280442419
FedAvg,Adversary,adaptive,789,25,-17.72774560112473,6.7305456225526985
FedAvg,Adversary,adaptive,789,30,-17.397650746901917,6.612606619350836
FedAvg,Adversary,adaptive,789,35,-16.895159858238287,6.41964855173931
FedAvg,Adversary,adaptive,789,40,-16.997612529512086,6.304745538017046
FedAvg,Adversary,adaptive,789,45,-17.43634475538133,6.868077544695577
FedAvg,Adversary,adaptive,789,50,-17.801987576407935,6.8659553579420205
FedAvg,Adversary,adaptive,789,55,-18.119307187956288,7.135457588673346
FedAvg,Adversary,adaptive,789,60,-19.862665381216324,8.174898456671082
FedAvg,Adversary,adaptive,789,65,-20.74923631962171,9.198568984925624
FedAvg,Adversary,adaptive,789,70,-20.844796561215784,9.098561859564043
FedAvg,Adversary,adaptive,789,75,-19.485872687345044,7.26068368356339
FedAvg,Adversary,adaptive,789,80,-19.695530329040214,7.6456021529139555
FedAvg,Adversary,adaptive,789,85,-19.97528119627476,7.41724429244496
FedAvg,Adversary,adaptive,789,90,-19.239627805723828,7.511323079019987
FedAvg,Adversary,adaptive,789,95,-19.367648797350352,7.633454311097219
FedAvg,Adversary,adaptive,789,100,-19.577338862444112,8.2064617656891
FedAvg,Adversary,adaptive,789,105,-19.98105811853747,7.809721305877527
FedAvg,Adversary,adaptive,789,110,-20.197990300340138,8.885795487811636
FedAvg,Adversary,adaptive,789,115,-19.77720807843337,8.754574824391163
FedAvg,Adversary,adaptive,789,120,-20.21388965360037,8.685606838480673
FedAvg,Adversary,adaptive,789,125,-19.741432057768133,8.062642787002869
FedAvg,Adversary,adaptive,789,130,-19.230323615663046,8.016807629971536
FedAvg,Adversary,adaptive,789,135,-19.290653662636498,8.29415588228779
FedAvg,Adversary,adaptive,789,140,-19.38211251744081,8.172172517476255
FedAvg,Adversary,adaptive,789,145,-19.533123257704183,8.104609797157831
FedAvg,Adversary,adaptive,789,150,-19.280890922838744,8.823089712604792
FedAvg,Adversary,adaptive,789,155,-18.824183858492432,7.713570106329735
FedAvg,Adversary,adaptive,789,160,-18.901876322543824,8.24762559309764
FedAvg,Adversary,adaptive,789,165,-18.307193660233665,8.554741003269902
FedAvg,Adversary,adaptive,789,170,-18.245869049863103,7.997127634701307
FedAvg,Adversary,adaptive,789,175,-18.12300258501176,7.9504004277700195
FedAvg,Adversary,adaptive,789,180,-18.175101945532013,8.035651389074287
FedAvg,Adversary,adaptive,789,185,-17.686763894510698,8.084917462134742
FedAvg,Adversary,adaptive,789,190,-17.485074809782574,7.918348450688531
FedAvg,Adversary,adaptive,789,195,-16.95561475790963,7.850484729668297
FedAvg,Adversary,adaptive,789,0,-22.259731917796223,10.276753911718998
FedAvg,Adversary,adaptive,789,5,-21.719467739164926,9.343664374620705
FedAvg,Adversary,adaptive,789,10,-21.240666235433988,8.906812022070008
FedAvg,Adversary,adaptive,789,15,-20.436493147957183,7.877072435732162
FedAvg,Adversary,adaptive,789,20,-19.44911370858111,7.542839678994201
FedAvg,Adversary,adaptive,789,25,-19.08100233227226,7.51529424457634
FedAvg,Adversary,adaptive,789,30,-18.431797581942725,7.211827881012588
FedAvg,Adversary,adaptive,789,35,-17.919871547951583,6.907285337770242
FedAvg,Adversary,adaptive,789,40,-17.692701237655932,6.752707451082516
FedAvg,Adversary,adaptive,789,45,-18.337330947953145,7.237858095591957
FedAvg,Adversary,adaptive,789,50,-18.56358200143808,7.037605438370234
FedAvg,Adversary,adaptive,789,55,-18.97725028441282,7.34183136067144
